district,total_children,measured_children,measurement_efficiency,stunted_severe_n,stunted_severe_pct,stunted_moderate_n,stunted_moderate_pct,stunted_normal_n,stunted_normal_pct,underweight_severe_n,underweight_severe_pct,underweight_moderate_n,underweight_moderate_pct,underweight_normal_n,underweight_normal_pct,stunting_total_pct,underweight_total_pct,measurement_coverage_pct_x,normal_stunting_ratio,normal_underweight_ratio,total_children_0_5,measured_children_0_5,measurement_efficiency_0_5,stunted_severe_n_0_5,stunted_severe_pct_0_5,stunted_moderate_n_0_5,stunted_moderate_pct_0_5,stunted_normal_n_0_5,stunted_normal_pct_0_5,sam_(n),sam_(%),mam_(n),mam_(%),not_wasted_(n),not_wasted_(%),reference_data_not_found,underweight_severe_n_0_5,underweight_severe_pct_0_5,underweight_moderate_n_0_5,underweight_moderate_pct_0_5,underweight_normal_n_0_5,underweight_normal_pct_0_5,obese_(n),obese_(%),overweight_(n),overweight_(%),not_overweight_(n),not_overweight_(%),reference_data_not_found.1,stunting_total_pct_0_5,underweight_total_pct_0_5,measurement_coverage_pct_0_5,normal_stunting_ratio_0_5,normal_underweight_ratio_0_5,total_pregnant_women,hb_measured_pw,anaemic_pw,total_lactating_mothers,hb_measured_lm,anaemic_lm,total_children_(6months_-_5_years),hb_measured_child,anaemic_child,pw_anaemia_rate,lm_anaemia_rate,child_anaemia_rate,total_children_0_6m,lbw_children_0_6m,lbw_rate_pct,total_pw_x,pw_due_anc1,pw_completed_anc1,pw_due_anc2,pw_completed_anc2,pw_optimum_anc2,pw_due_anc3,pw_completed_anc3,pw_optimum_anc3,pw_due_anc4,pw_completed_anc4,pw_optimum_anc4,pw_optimum_latest,pw_hb_measured,pw_anaemic_latest,anc1_completion_pct,anc2_completion_pct,anc3_completion_pct,anc4_completion_pct,optimum_wg_latest_pct,pw_hb_measured_pct,pw_anaemia_latest_pct,total_ag_x,ag_measured,ag_measured_pct,ag_severely_thin,ag_thin,ag_normal,ag_overweight,ag_obese,ag_hb_measured,ag_anaemic,ag_underweight,ag_underweight_pct,ag_anaemia_rate,children_total_x,children_measured,children_measured_pct,aww_completed_80pct_me,measurement_coverage_pct_y,aww_80pct_me_share,total_aww,target_visits,visits_made,visit_coverage_pct,aww_60pct_hv,aww_60pct_hv_pct,project,sector,awc,total_beneficiary,total_pw_y,total_lm,children_6m_3y,children_3y_5y,children_5y_6y,sam_6m_3y,sam_3y_5y,suw_6m_3y,suw_3y_6y,sam_suw_6m_3y,sam_suw_3y_5y,total_ag_y,children_total_y,sam_total,suw_total,sam_suw_total,sam_ratio,suw_ratio,sam_suw_ratio,pw_share_pct,lm_share_pct,ag_share_pct,children_share_pct,total_awc,active_awc,inactive_awc,new_awc_month,inactive_awc_month,active_awc_pct,inactive_awc_pct,awc_churn_rate,awc_readiness_score
Ganjam,27646,27643,99.99,1242,4.49,3957,14.31,22444,81.19,115,0.42,1677,6.07,25851,93.52,18.8,6.49,99.99,4.32,14.41,221709,221663,99.98,24235,10.93,29844,13.46,167584,75.6,1193,0.54,2879,1.3,217242,98.01,349,2463,1.11,10785,4.87,208415,94.02,5083,2.29,7484,3.38,208747,94.17,349,24.39,5.98,99.98,3.1,15.72,22210,805,109,16679,394,179,205852,0,0,0.14,0.45,0.0,16551,757,0.05,22210,22210,14062,21182,3277,2267,12712,1065,316,5528,225,19,1776,14027,3215,0.63,0.15,0.08,0.04,0.08,0.63,0.23,,,,,,,,,,,,,,249355,249306,99.98,5162,1.0,0.07,5128,74580,74188,99.47,5157,1.01,24,210,5162,270811,22187,16657,107135,97977,26855,265,86,770,364,104,61,0,231967,351,1134,165,0.002,0.005,0.001,0.08,0.06,0.0,0.86,5164,5162,2,0,0,1.0,0.0,0.0,1.0
Jagatsinghpur,8934,8933,99.99,99,1.11,794,8.89,8040,90.0,37,0.41,406,4.54,8490,95.04,10.0,4.95,99.99,9.0,19.2,52175,52173,100.0,3175,6.09,5558,10.65,43440,83.26,213,0.41,652,1.25,51201,98.14,107,498,0.95,2236,4.29,49439,94.76,1003,1.92,1875,3.59,49188,94.28,107,16.74,5.24,100.0,4.97,18.08,4828,1281,241,4018,210,123,48153,0,0,0.19,0.59,0.0,4061,432,0.11,4828,4828,3506,4641,1070,654,2480,344,107,1109,62,13,538,3506,686,0.73,0.23,0.14,0.06,0.11,0.73,0.2,,,,,,,,,,,,,,61109,61106,100.0,1815,1.0,0.02,1799,16864,16346,96.93,1776,0.99,8,74,1815,61688,4812,4013,25557,21059,6247,24,13,135,75,21,6,0,52863,37,210,27,0.001,0.004,0.001,0.08,0.07,0.0,0.86,1815,1815,0,0,0,1.0,0.0,0.0,1.0
Jajapur,20081,20080,100.0,428,2.13,2596,12.93,17056,84.94,96,0.48,1565,7.79,18419,91.73,15.06,8.27,100.0,5.64,11.09,119194,119185,99.99,9241,7.75,17758,14.9,92186,77.35,399,0.33,1704,1.43,116803,98.0,279,1500,1.26,7224,6.06,110461,92.68,1943,1.63,3042,2.55,113921,95.58,279,22.65,7.32,99.99,3.42,12.66,11348,983,156,9567,326,184,109712,0,0,0.16,0.56,0.0,9678,879,0.09,11348,11348,7863,10623,1861,1281,5358,553,152,2176,102,11,1040,7826,1736,0.69,0.18,0.1,0.05,0.09,0.69,0.22,,,,,,,,,,,,,,139275,139265,99.99,2826,1.0,0.04,2807,39982,39039,97.64,2793,1.0,11,107,2826,145438,11344,9556,57799,50831,15908,65,24,397,345,66,54,0,124538,89,742,120,0.001,0.006,0.001,0.08,0.07,0.0,0.86,2826,2826,0,0,0,1.0,0.0,0.0,1.0
Jharsuguda,5169,5169,100.0,265,5.13,1036,20.04,3868,74.83,48,0.93,801,15.5,4320,83.58,25.17,16.43,100.0,2.97,5.09,28451,28424,99.91,4024,14.16,5753,20.24,18647,65.6,306,1.08,763,2.68,27295,96.03,60,558,1.96,3127,11.0,24739,87.04,740,2.6,818,2.88,26806,94.31,60,34.4,12.96,99.91,1.91,6.72,3013,37,12,2190,17,9,26230,0,0,0.32,0.53,0.0,2274,335,0.15,3013,3013,1888,2877,131,92,1641,38,18,690,3,2,81,1886,797,0.63,0.05,0.02,0.0,0.03,0.63,0.42,,,,,,,,,,,,,,33620,33593,99.92,967,1.0,0.01,967,9540,9193,96.36,946,0.98,7,36,967,33497,2993,2181,14309,10928,3086,84,42,174,120,36,14,0,28323,126,294,50,0.004,0.01,0.002,0.09,0.07,0.0,0.85,967,967,0,0,0,1.0,0.0,0.0,1.0
Kalahandi,23009,22990,99.92,840,3.65,4941,21.49,17209,74.85,264,1.15,3064,13.33,19662,85.52,25.14,14.48,99.92,2.98,5.91,116641,116530,99.9,13699,11.76,23539,20.2,79292,68.04,788,0.68,3769,3.23,111760,95.91,213,2482,2.13,11962,10.27,102086,87.6,1920,1.65,2695,2.31,111702,95.86,213,31.96,12.4,99.9,2.13,7.06,12874,272,110,7956,46,29,108551,0,0,0.4,0.63,0.0,8221,967,0.12,12874,12874,8861,12097,2743,1672,6600,898,273,2610,170,16,1381,8839,4496,0.69,0.23,0.14,0.07,0.11,0.69,0.51,36493.0,2597.0,7.12,26.0,153.0,2237.0,124.0,57.0,64.0,41.0,179.0,0.0,0.64,139650,139520,99.91,2376,1.0,0.03,2354,39312,37948,96.53,2341,0.99,14,95,2377,182099,12858,7932,55494,51869,17606,206,83,966,570,115,79,36340,124969,289,1536,194,0.002,0.012,0.002,0.07,0.04,0.2,0.69,2379,2377,2,0,0,1.0,0.0,0.0,1.0
Kandhamal,8663,8661,99.98,259,2.99,2035,23.5,6367,73.51,123,1.42,1532,17.69,7006,80.89,26.49,19.11,99.98,2.78,4.23,61030,61004,99.96,5915,9.7,14900,24.42,40189,65.88,376,0.62,1965,3.22,58623,96.1,40,1287,2.11,8124,13.32,51593,84.57,768,1.26,1174,1.92,59022,96.75,40,34.12,15.43,99.96,1.93,5.48,6905,986,515,4343,194,160,56621,0,0,0.52,0.82,0.0,4524,591,0.13,6905,6905,4907,6363,1222,693,3071,429,142,1257,87,14,580,4901,2755,0.71,0.19,0.14,0.07,0.08,0.71,0.56,9843.0,2057.0,20.9,51.0,102.0,1712.0,132.0,60.0,64.0,50.0,153.0,0.02,0.78,69693,69665,99.96,2198,1.0,0.03,2181,20379,20074,98.5,2186,1.0,12,72,2198,85474,6884,4322,29149,27138,8199,67,20,475,374,65,23,9782,64486,87,849,88,0.001,0.013,0.001,0.08,0.05,0.11,0.75,2201,2198,3,0,0,1.0,0.0,0.0,1.0
Kendrapara,12433,12432,99.99,131,1.05,958,7.71,11343,91.24,30,0.24,599,4.82,11803,94.94,8.76,5.06,99.99,10.42,18.76,80912,80899,99.98,2901,3.59,7290,9.01,70708,87.4,386,0.48,827,1.02,79567,98.35,119,499,0.62,3048,3.77,77352,95.62,1055,1.3,1899,2.35,77826,96.2,119,12.6,4.39,99.98,6.94,21.78,8197,247,46,6286,80,46,74624,0,0,0.19,0.57,0.0,6419,613,0.1,8197,8197,5325,7813,1130,787,4251,420,126,1866,88,13,608,5305,2117,0.65,0.14,0.1,0.05,0.07,0.65,0.4,,,,,,,,,,,,,,93345,93331,99.99,2147,1.0,0.03,2113,26791,26459,98.76,2140,1.01,9,84,2147,98246,8191,6281,39160,34519,10095,45,16,103,55,29,18,0,83774,61,158,47,0.001,0.002,0.001,0.08,0.06,0.0,0.85,2148,2147,1,0,0,1.0,0.0,0.0,1.0
Keonjhar,20048,20035,99.94,900,4.49,4668,23.3,14467,72.21,348,1.74,3840,19.17,15847,79.1,27.79,20.91,99.94,2.6,3.78,129294,129254,99.97,16799,13.0,28219,21.83,84236,65.17,877,0.68,4736,3.66,123430,95.49,211,3913,3.03,19873,15.38,105468,81.6,1697,1.31,2355,1.82,124991,96.7,211,34.83,18.41,99.97,1.87,4.43,12035,928,428,9312,123,105,119855,0,0,0.46,0.85,0.0,9598,1428,0.15,12035,12035,8242,11342,1770,1112,5697,520,128,2288,73,9,899,8228,4555,0.68,0.16,0.09,0.03,0.07,0.68,0.55,,,,,,,,,,,,,,149342,149289,99.96,3360,1.0,0.05,3347,40138,38189,95.14,3212,0.96,14,121,3361,158485,12016,9293,61435,57636,18105,163,83,1612,1193,193,107,0,137176,246,2805,300,0.002,0.02,0.002,0.08,0.06,0.0,0.87,3363,3361,2,0,0,1.0,0.0,0.0,1.0
Khordha,14890,14888,99.99,156,1.05,1687,11.33,13045,87.62,87,0.58,1095,7.35,13706,92.06,12.38,7.93,99.99,7.08,11.61,107473,107463,99.99,5293,4.93,13437,12.5,88733,82.57,446,0.42,1556,1.45,105330,98.02,131,1071,1.0,5728,5.33,100664,93.67,1405,1.31,2812,2.62,103115,95.95,131,17.43,6.33,99.99,4.74,14.8,11955,1471,220,9950,402,223,97612,0,0,0.15,0.55,0.0,10070,902,0.09,11955,11955,8506,11347,2186,1369,6014,669,229,2586,131,21,1170,8477,1355,0.71,0.19,0.11,0.05,0.1,0.71,0.16,,,,,,,,,,,,,,122363,122351,99.99,2554,1.0,0.03,2540,41485,40737,98.2,2539,1.0,13,102,2554,128316,11933,9939,56048,39583,10813,73,38,226,207,50,41,0,106444,111,433,91,0.001,0.004,0.001,0.09,0.08,0.0,0.83,2557,2554,3,0,0,1.0,0.0,0.0,1.0
Koraput,20224,20173,99.75,784,3.89,5155,25.55,14234,70.56,268,1.33,3747,18.57,16158,80.1,29.44,19.9,99.75,2.4,4.03,114330,114192,99.88,10288,9.01,24552,21.5,79352,69.49,453,0.4,2662,2.33,110943,97.15,134,2673,2.34,14791,12.95,96728,84.71,650,0.57,1138,1.0,112270,98.32,134,30.51,15.29,99.88,2.28,5.54,13314,2423,1373,7439,317,259,106857,0,0,0.57,0.82,0.0,7665,792,0.1,13314,13314,9087,12736,2109,1151,6931,679,193,2889,114,7,956,9066,5162,0.68,0.17,0.1,0.04,0.07,0.68,0.57,20725.0,20534.0,99.08,462.0,854.0,17731.0,1040.0,445.0,116.0,80.0,1316.0,0.06,0.69,134554,134365,99.86,3395,1.0,0.05,3363,36749,35923,97.75,3354,1.0,15,125,3397,164635,13284,7428,54389,51857,17072,71,20,1055,791,80,28,20605,123318,91,1846,108,0.001,0.015,0.001,0.08,0.05,0.13,0.75,3404,3397,7,0,0,1.0,0.0,0.0,1.0
Malkangiri,9784,9782,99.98,622,6.36,2916,29.81,6244,63.83,315,3.22,2774,28.36,6693,68.42,36.17,31.58,99.98,1.76,2.17,55614,55500,99.8,8561,15.43,16060,28.94,30879,55.64,629,1.13,2900,5.23,51862,93.45,109,2561,4.61,11712,21.1,41227,74.28,626,1.13,852,1.54,53913,97.14,109,44.37,25.71,99.8,1.25,2.89,6452,143,68,4056,37,23,51502,0,0,0.48,0.62,0.0,4215,453,0.11,6452,6452,3665,6087,213,109,3223,57,22,1304,16,5,99,3661,1947,0.57,0.03,0.02,0.01,0.02,0.57,0.53,8213.0,4312.0,52.5,167.0,314.0,3538.0,182.0,111.0,30.0,2.0,481.0,0.06,0.07,65398,65282,99.82,1324,1.0,0.02,1301,18943,18520,97.77,1307,1.0,7,51,1324,79009,6433,4041,27236,23960,9175,134,49,1083,910,133,76,8164,60371,183,1993,209,0.003,0.033,0.003,0.08,0.05,0.1,0.76,1324,1324,0,0,0,1.0,0.0,0.0,1.0
Mayurbhanj,14459,14454,99.97,592,4.1,3418,23.65,10444,72.26,300,2.08,3147,21.77,11007,76.15,27.75,23.85,99.97,2.6,3.19,159521,159391,99.92,18510,11.61,36972,23.2,103909,65.19,1053,0.66,7210,4.52,150923,94.69,205,5055,3.17,27599,17.32,126737,79.51,1484,0.93,2126,1.33,155576,97.61,205,34.81,20.49,99.92,1.87,3.88,16484,389,175,11464,70,58,147854,0,0,0.45,0.83,0.0,11918,1844,0.15,16484,16484,11177,15706,2635,1686,8626,850,283,3956,170,13,1412,11129,6803,0.68,0.17,0.1,0.04,0.09,0.68,0.61,,,,,,,,,,,,,,173980,173845,99.92,5149,1.0,0.07,5084,49091,45792,93.28,4849,0.95,26,168,5153,187256,16460,11433,77562,69688,12113,184,74,2084,1605,238,119,0,159363,258,3689,357,0.002,0.023,0.002,0.09,0.06,0.0,0.85,5160,5153,7,0,0,1.0,0.0,0.0,1.0
